Name,Type,Link
Michael C. Hall,actor,https://en.wikipedia.org/wiki/Michael_C._Hall
Dexter Morgan,character,https://en.wikipedia.org/wiki/Dexter_Morgan
Julie Benz,actor,https://en.wikipedia.org/wiki/Julie_Benz
Rita Bennett,character,https://en.wikipedia.org/wiki/Rita_Bennett
Jennifer Carpenter,actor,https://en.wikipedia.org/wiki/Jennifer_Carpenter
Debra Morgan,character,https://en.wikipedia.org/wiki/Debra_Morgan
Erik King,actor,https://en.wikipedia.org/wiki/Erik_King
James Doakes,character,https://en.wikipedia.org/wiki/James_Doakes
Lauren Vélez,actor,https://en.wikipedia.org/wiki/Lauren_V%C3%A9lez
María LaGuerta,character,https://en.wikipedia.org/wiki/Mar%C3%ADa_LaGuerta
David Zayas,actor,https://en.wikipedia.org/wiki/David_Zayas
Angel Batista,character,https://en.wikipedia.org/wiki/Angel_Batista
James Remar,actor,https://en.wikipedia.org/wiki/James_Remar
Harry Morgan,character,https://en.wikipedia.org/wiki/Harry_Morgan_(Dexter)
"C.S. Lee,Rudolf Martin",actor,https://en.wikipedia.org/wiki/C.S._Lee
"Vince Masuka,Carlos Guerrero",character,https://en.wikipedia.org/wiki/Vince_Masuka
"Christina Robinson,Mark L. Young",actor,https://en.wikipedia.org/wiki/Christina_Robinson_(actress)
"Astor Bennett,Jeremy Downs",character,https://en.wikipedia.org/wiki/List_of_Dexter_characters#Astor_Bennett
"Daniel Goldman,Judith Scott",actor,https://en.wikipedia.org/wiki/Daniel_Goldman
"Cody Bennett,Esme Pascal",character,https://en.wikipedia.org/wiki/List_of_Dexter_characters#Cody_Bennett
"Devon Graye,Valerie Castillo",actor,https://en.wikipedia.org/wiki/Devon_Graye
Dominic Janes,character,https://en.wikipedia.org/wiki/Dominic_Janes
"Geoff Pierson,Mike Donovan",actor,https://en.wikipedia.org/wiki/Geoff_Pierson
Tom Matthews,character,https://en.wikipedia.org/wiki/List_of_Dexter_characters#Tom_Matthews
"Christian Camargo,Ethan Smith",actor,https://en.wikipedia.org/wiki/Christian_Camargo
"Brian Moser,Jamie Jaworski",character,https://en.wikipedia.org/wiki/List_of_Dexter_characters#Brian_Moser
"Mark Pellegrino,Denise Crosby",actor,https://en.wikipedia.org/wiki/Mark_Pellegrino
"Paul Bennett,Nurse Mary",character,https://en.wikipedia.org/wiki/List_of_Dexter_characters#Paul_Bennett
"Brad William Henke,Gina Hecht",actor,https://en.wikipedia.org/wiki/Brad_William_Henke
"Tony Tucci,Mrs. Tucci",character,https://en.wikipedia.org/wiki/List_of_Dexter_characters#Tony_Tucci
"Angela Alvarado,José Zúñiga",actor,https://en.wikipedia.org/wiki/Angela_Alvarado
"Nina Batista,Jorge Castillo",character,https://en.wikipedia.org/wiki/List_of_Dexter_characters#Nina_Batista
"Sam Witwer,Vernee Watson-Johnson",actor,https://en.wikipedia.org/wiki/Samuel_Witwer
Neil Perry,character,https://en.wikipedia.org/wiki/List_of_Dexter_characters#Neil_Perry
"Sage Kirkpatrick,Tony Goldwyn",actor,https://en.wikipedia.org/wiki/Sage_Kirkpatrick
"Laura Moser,Emmett Meridian",character,https://en.wikipedia.org/wiki/List_of_Dexter_characters#Laura_Moser
"Margo Martindale,Malcolm-Jamal Warner",actor,https://en.wikipedia.org/wiki/Margo_Martindale
Camilla Figg,character,https://en.wikipedia.org/wiki/List_of_Dexter_characters#Camilla_Figg
